"Harper, Robert",Carnegie Mellon University
"Heule, Marijn",Carnegie Mellon University
"Hodgins, Jessica",Carnegie Mellon University
"Hoffmann, Jan",Carnegie Mellon University
"Jahanian, Farnam",Carnegie Mellon University
"Jia, Limin",Carnegie Mellon University
"Kaminsky, Michael",Carnegie Mellon University
"Kanade, Takeo",Carnegie Mellon University
"Kaynar, Zeliha Dilsun",Carnegie Mellon University
"Kolter, J. Zico",Carnegie Mellon University
"Kosbie, David",Carnegie Mellon University
"Kothari, Pravesh",Carnegie Mellon University
"Koutis, Ioannis",Carnegie Mellon University
"Kumar, Swarun",Carnegie Mellon University
"Labrinidis, Alexandros",Carnegie Mellon University
"Lee, Tai-Sing",Carnegie Mellon University
"Levin, Golan",Carnegie Mellon University
"Lucia, Brandon",Carnegie Mellon University
"Mackey, John",Carnegie Mellon University
"Martins, Ruben",Carnegie Mellon University
"Mason, Matthew",Carnegie Mellon University
"Maxion, Roy",Carnegie Mellon University
"Miller, Gary",Carnegie Mellon University
"Mitchell, Tom",Carnegie Mellon University
"Mitsch, Stefan",Carnegie Mellon University
"Mowry, Todd",Carnegie Mellon University
"O #039;Donnell, Ryan",Carnegie Mellon University
"O #039;Hallaron, David",Carnegie Mellon University
"O #039;Toole, Matthew",Carnegie Mellon University
"Parno, Bryan",Carnegie Mellon University
"Pavlo, Andy",Carnegie Mellon University
"Pfenning, Frank",Carnegie Mellon University
"Platzer, Andr\xc3\xa9",Carnegie Mellon University
"Pollard, Nancy",Carnegie Mellon University
"Procaccia, Ariel",Carnegie Mellon University
"Railing, Brian",Carnegie Mellon University
"Ravi, R.",Carnegie Mellon University
"Reddy, Raj",Carnegie Mellon University
"Reid-Miller, Margaret",Carnegie Mellon University
"Rivers, Kelly",Carnegie Mellon University
"Rosenfeld, Roni",Carnegie Mellon University
"Rosenthal, Stephanie",Carnegie Mellon University
"Rudich, Steven",Carnegie Mellon University
"Rudnicky, Alexander",Carnegie Mellon University
"Sakr, Majd",Carnegie Mellon University
"Sandholm, Tuomas",Carnegie Mellon University
"Satyanarayanan, Mahadev",Carnegie Mellon University
"Schmerl, Bradley",Carnegie Mellon University
"Schwartz, Russell",Carnegie Mellon University
"Scott, Dana",Carnegie Mellon University
"Sekar, Vyas",Carnegie Mellon University
"Seshan, Srinivasan",Carnegie Mellon University
"Shah, Nihar",Carnegie Mellon University
"Shaw, Mary",Carnegie Mellon University
"Sherry, Justine",Carnegie Mellon University
"Siewiorek, Daniel",Carnegie Mellon University
"Simmons, Reid",Carnegie Mellon University
"Sleator, Daniel",Carnegie Mellon University
"Steenkiste, Peter",Carnegie Mellon University
"Stehlik, Mark",Carnegie Mellon University
"Sutner, Klaus",Carnegie Mellon University
"Taylor, Michael",Carnegie Mellon University
"Touretzky, David",Carnegie Mellon University
"Veloso, Manuela M.",Carnegie Mellon University
"Vinayak, Rashmi Korlakai",Carnegie Mellon University
"Virtue, Patrick",Carnegie Mellon University
"Von Ahn, Luis",Carnegie Mellon University
"Wactlar, Howard",Carnegie Mellon University
"Wang, Weina",Carnegie Mellon University
"Wing, Jeannette",Carnegie Mellon University
"Woodruff, David",Carnegie Mellon University
"Xing, Eric P.",Carnegie Mellon University
"Yang, Jean",Carnegie Mellon University
"Yang, Yiming",Carnegie Mellon University
"Zhang, Hui",Carnegie Mellon University
Frederick H. Abernathy,Harvard University
Joanna Aizenberg,Harvard University
B Altringer,Harvard University
Nada Amin,Harvard University
Ariel Amir,Harvard University
Donald G.M. Anderson,Harvard University
James G. Anderson,Harvard University
Michael J. Aziz,Harvard University
Demba Ba,Harvard University
Boaz Barak,Harvard University
Markus Thomas Basan,Harvard University
David C. Bell,Harvard University
Katia Bertoldi,Harvard University
Joze Bevk,Harvard University
William H. Bossert,Harvard University
Karen Brennan,Harvard University
Michael P. Brenner,Harvard University
Roger W. Brockett,Harvard University
Samir Khuller,Northwestern University
Nabil Alshurafa,Northwestern University
Brenna Argall,Northwestern University
Larry Birnbaum,Northwestern University
Jeremy Birnholtz,Northwestern University
Fabian Bustamante,Northwestern University
Alok Choudhary,Northwestern University
Simone Campanoni,Northwestern University
Katherine Compton,Northwestern University
Yan Chen,Northwestern University
Oliver Cossairt,Northwestern University
Nick Diakopoulos,Northwestern University
Christos Dimoulas,Northwestern University
Peter Dinda,Northwestern University
Douglas Downey,Northwestern University
Robby Findler,Northwestern University
Ken Forbus,Northwestern University
Elizabeth Gerber,Northwestern University
Darren Gergle,Northwestern University
Branden Ghena,Northwestern University
Dongning Guo,Northwestern University
Kristian Hammond,Northwestern University
Nikos Hardavellas,Northwestern University
Jason Hartline,Northwestern University
Brent Hecht,Northwestern University
Josiah Hester,Northwestern University
Thomas Hinrichs,Northwestern University
Michael Horn,Northwestern University
Ian Horswill,Northwestern University
Jessica Hullman,Northwestern University
Russell Joseph,Northwestern University
Ming-Yang Kao,Northwestern University
Aggelos Katsaggelos,Northwestern University
Matthew Kay,Northwestern University
Aleksandar Kuzmanovic,Northwestern University
Daniel W. Linna Jr.,Northwestern University
Han Liu,Northwestern University
Yuan Luo,Northwestern University
Konstantin Makarychev,Northwestern University
Gokhan Memik,Northwestern University
Seda Memik,Northwestern University
Eleanor O\'Rourke,Northwestern University
Bryan Pardo,Northwestern University
Chris Riesbeck,Northwestern University
Jennie Rogers,Northwestern University
Michael Rubenstein,Northwestern University
Sara Owsley Sood,Northwestern University
Vincent St-Amour,Northwestern University
Stephen Tarzia,Northwestern University
Jesse Tov,Northwestern University
Jack Tumblin,Northwestern University
Sarah Van Wart,Northwestern University
Aravindan Vijayaraghavan,Northwestern University
Xiao Wang,Northwestern University
Zhaoran Wang,Northwestern University
Uri Wilensky,Northwestern University
Marcelo Worsley,Northwestern University
Ying Wu,Northwestern University
Haoqi Zhang,Northwestern University
Qi Zhu,Northwestern University
Jayadev Acharya,Cornell University
Rachit Agarwal,Cornell University
David Albonesi,Cornell University
Lorenzo Alvisi,Cornell University
Yoav Artzi,Cornell University
Shiri Azenkot,Cornell University
Kavita Bala,Cornell University
Siddhartha Banerjee,Cornell University
Christopher Batten,Cornell University
Serge Belongie,Cornell University
Austin Benson,Cornell University
Tapomayukh Bhattacharjee,Cornell University
David Bindel,Cornell University
Ken Birman,Cornell University
Ronald Brachman,Cornell University
Anne Bracy,Cornell University
Mark Campbell,Cornell University
Claire Cardie,Cornell University
Eshan Chattopadhyay,Cornell University
Yudong Chen,Cornell University
Tanzeem Choudhury,Cornell University
Michael Clarkson,Cornell University
Robert Constable,Cornell University
Anil Damle,Cornell University
Cristian Danescu-Niculescu-Mizil,Cornell University
Abe Davis,Cornell University
Christopher De Sa,Cornell University
Christina Delimitrou,Cornell University
Nicola Dell,Cornell University
Alan Demers,Cornell University
Shimon Edelman,Cornell University
Kevin Ellis,Cornell University
Deborah Estrin,Cornell University
K-Y. Fan,Cornell University
Nate Foster,Cornell University
Ziv Goldfeld,Cornell University
Carla Gomes,Cornell University
Donald Greenberg,Cornell University
David Gries,Cornell University
Francois Guimbretiere,Cornell University
Nika Haghtalab,Cornell University
Joseph Halpern,Cornell University
Bharath Hariharan,Cornell University
Juris Hartmanis,Cornell University
Haym Hirsh,Cornell University
Guy Hoffman,Cornell University
John Hopcroft,Cornell University
Thorsten Joachims,Cornell University
Wendy Ju,Cornell University
Ari Juels,Cornell University
Malte Jung,Cornell University
Nathan Kallus,Cornell University
Alon Keinan,Cornell University
Jon Kleinberg,Cornell University
Robert Kleinberg,Cornell University
Dexter Kozen,Cornell University
Hadas Kress-Gazit,Cornell University
Volodymyr Kuleshov,Cornell University
Daniel Lee,Cornell University
Lillian Lee,Cornell University
Owolabi Legunsen,Cornell University
Steve Marschner,Cornell University
Jose Martinez,Cornell University
David Mimno,Cornell University
Greg Morrisett,Cornell University
Curran Muhlberger,Cornell University
Andrew Myers,Cornell University
Mor Naaman,Cornell University
Anil Nerode,Cornell University
Tapan Parikh,Cornell University
Rafael Pass,Cornell University
Kirstin Petersen,Cornell University
Emma Pierson,Cornell University
Martha E. Pollack,Cornell University
Tom Ristenpart,Cornell University
"Alexander ""Sasha"" Rush",Cornell University
Mert Sabuncu,Cornell University
Adrian Sampson,Cornell University
Fred Schneider,Cornell University
Bart Selman,Cornell University
Phoebe Sengers,Cornell University
Elaine Shi,Cornell University
Vitaly Shmatikov,Cornell University
David Shmoys,Cornell University
Emin G\xc3\xbcn Sirer,Cornell University
Noah Snavely,Cornell University
Karthik Sridharan,Cornell University
Noah Stephens-Davidowitz,Cornell University
G. Edward Suh,Cornell University
Wen Sun,Cornell University
A. Kevin Tang,Cornell University
Eva Tardos,Cornell University
Tim Teitelbaum,Cornell University
Immanuel Trummer,Cornell University
Madeleine Udell,Cornell University
Charles Van Loan,Cornell University
Robbert van Renesse,Cornell University
Marten van Schijndel,Cornell University
Anke van Zuylen,Cornell University
Aaron Wagner,Cornell University
Fei Wang,Cornell University
Hakim Weatherspoon,Cornell University
Kilian Weinberger,Cornell University
Walker White,Cornell University
Stephen Wicker,Cornell University
Amy Williams,Cornell University
David Williamson,Cornell University
Christina Lee Yu,Cornell University
Haiyuan Yu,Cornell University
Ramin Zabih,Cornell University
Cheng Zhang,Cornell University
Zhiru Zhang,Cornell University
"Venkataramanan ""Ragu"" Balakrishnan",Case Western Reserve University
Marc Buchner,Case Western Reserve University
M. Cenk Cavusoglu,Case Western Reserve University
Vira Chankong,Case Western Reserve University
Michael Fu,Case Western Reserve University
Mario Garcia-Sanz,Case Western Reserve University
Evren Gurkan Cavusoglu,Case Western Reserve University
Ming-Chun Huang,Case Western Reserve University
Hossein Lavasani,Case Western Reserve University
Greg Lee,Case Western Reserve University
Pan Li,Case Western Reserve University
Wei Lin,Case Western Reserve University
Kenneth Loparo,Case Western Reserve University
Behnam Malakooti,Case Western Reserve University
Mehran Mehregany,Case Western Reserve University
Pedram Mohseni,Case Western Reserve University
Wyatt Newman,Case Western Reserve University
Chris Papachristou,Case Western Reserve University
Daniel Saab,Case Western Reserve University
Sree Sreenath,Case Western Reserve University
Chris Zorman,Case Western Reserve University
Cynthia Hatcher,Case Western Reserve University
Lavanya Kalahasti,Case Western Reserve University
Elliot Korth,Case Western Reserve University
Laura Kuhar,Case Western Reserve University
Salvatore Russo,Case Western Reserve University
Heather Smith,Case Western Reserve University
YoLonda Stiggers,Case Western Reserve University
Ryan Watson,Case Western Reserve University
Mahdi Bayat,Case Western Reserve University
Farhad Kaffashi,Case Western Reserve University
Soumyajit Mandal,Case Western Reserve University
George Ernst,Case Western Reserve University
Sheldon Gruber,Case Western Reserve University
Frank Merat,Case Western Reserve University
Lee White,Case Western Reserve University
Dana Angluin,Yale University
James Aspnes,Yale University
Abhishek Bhattacharjee,Yale University
Yang Cai,Yale University
Julie Dorsey,Yale University
Stanley Eisenstat,Yale University
Joan Feigenbaum,Yale University
Michael Fischer,Yale University
David Gelernter,Yale University
Anurag Khandelwal,Yale University
Theodore Kim,Yale University
Ruzica Piskac,Yale University
Dragomir Radev,Yale University
Vladimir Rokhlin,Yale University
Holly Rushmeier,Yale University
Brian Scassellati,Yale University
Zhong Shao,Yale University
Abraham Silberschatz,Yale University
Robert Soul\xc3\xa9,Yale University
Daniel Spielman,Yale University
Marynel V\xc3\xa1zquez,Yale University
Nisheeth Vishnoi,Yale University
Y. Richard Yang,Yale University
Lin Zhong,Yale University
Steven Zucker,Yale University
Yair Amir,Johns Hopkins University
Raman Arora,Johns Hopkins University
Vladimir Braverman,Johns Hopkins University
Randal Burns,Johns Hopkins University
Yinzhi Cao,Johns Hopkins University
Anton Dahbura,Johns Hopkins University
Ali Darvish,Johns Hopkins University
Michael Dinitz,Johns Hopkins University
Mark Dredze,Johns Hopkins University
Kevin Duh,Johns Hopkins University
Jason Eisner,Johns Hopkins University
Soudeh Ghorbani,Johns Hopkins University
Matthew D. Green,Johns Hopkins University
Gregory D. Hager,Johns Hopkins University
Susan Hohenberger,Johns Hopkins University
David Hovemeyer,Johns Hopkins University
Chien-Ming Huang,Johns Hopkins University
Ryan (Peng) Huang,Johns Hopkins University
Abhishek Jain,Johns Hopkins University
Xin Jin,Johns Hopkins University
Peter Kazanzides,Johns Hopkins University
Michael Kazhdan,Johns Hopkins University
Philipp Koehn,Johns Hopkins University
S. Rao Kosaraju,Johns Hopkins University
Benjamin Langmead,Johns Hopkins University
Xin Li,Johns Hopkins University
Ali Madooei,Johns Hopkins University
Sara Miner More,Johns Hopkins University
Nassir Navab,Johns Hopkins University
Matt Post,Johns Hopkins University
Aviel Rubin,Johns Hopkins University
Steven Salzberg,Johns Hopkins University
Suchi Saria,Johns Hopkins University
Michael Schatz,Johns Hopkins University
Joao Sedoc,Johns Hopkins University
Joanne Selinski,Johns Hopkins University
Wei Shen,Johns Hopkins University
Ilya Shpitser,Johns Hopkins University
Scott Smith,Johns Hopkins University
Alex Szalay,Johns Hopkins University
Russell H. Taylor,Johns Hopkins University
Mathias Unberath,Johns Hopkins University
Benjamin Van Durme,Johns Hopkins University
David Yarowsky,Johns Hopkins University
Alan Yuille,Johns Hopkins University
Omid Abari,University of California--Los Angeles
Kai-Wei Chang,University of California--Los Angeles
Junghoo (John) Cho,University of California--Los Angeles
Jason (Jingsheng) Cong,University of California--Los Angeles
Adnan Darwiche,University of California--Los Angeles
Joseph DiStefano,University of California--Los Angeles
Paul Eggert,University of California--Los Angeles
Eleazar Eskin,University of California--Los Angeles
Eliezer Gafni,University of California--Los Angeles
Quanquan Gu,University of California--Los Angeles
Eran Halperin,University of California--Los Angeles
Cho-Jui Hsieh,University of California--Los Angeles
Miryung Kim,University of California--Los Angeles
Richard Korf,University of California--Los Angeles
Songwu Lu,University of California--Los Angeles
Raghu Meka,University of California--Los Angeles
Todd Millstein,University of California--Los Angeles
Baharan Mirzasoleiman,University of California--Los Angeles
Ravi Netravali,University of California--Los Angeles
Tony Nowatzki,University of California--Los Angeles
Rafail Ostrovsky,University of California--Los Angeles
Jens Palsberg,University of California--Los Angeles
Nanyun Peng,University of California--Los Angeles
Miodrag Potkonjak,University of California--Los Angeles
Glenn Reinman,University of California--Los Angeles
Amit Sahai,University of California--Los Angeles
Sriram Sankararaman,University of California--Los Angeles
Majid Sarrafzadeh,University of California--Los Angeles
Alexander Sherstov,University of California--Los Angeles
David Smallberg,University of California--Los Angeles
Stefano Soatto,University of California--Los Angeles
Yizhou Sun,University of California--Los Angeles
Yuval Tamir,University of California--Los Angeles
Demetri Terzopoulos,University of California--Los Angeles
Guy Van den Broeck,University of California--Los Angeles
George Varghese,University of California--Los Angeles
Wei Wang,University of California--Los Angeles
Harry Xu,University of California--Los Angeles
Lixia Zhang,University of California--Los Angeles
Algirdas Avizienis,University of California--Los Angeles
Rajive Bagrodia,University of California--Los Angeles
Alfonso F. Cardenas,University of California--Los Angeles
Jack Carlyle,University of California--Los Angeles
Wesley Chu,University of California--Los Angeles
Michael G. Dyer,University of California--Los Angeles
Milos D. Ercegovac,University of California--Los Angeles
Sheila Greibach,University of California--Los Angeles
Leonard Kleinrock,University of California--Los Angeles
Allen Klinger,University of California--Los Angeles
Lawrence P. McNamee,University of California--Los Angeles
Richard R. Muntz,University of California--Los Angeles
D. Stott Parker,University of California--Los Angeles
Judea Pearl,University of California--Los Angeles
David A. Rennels,University of California--Los Angeles
Carlo Zaniolo,University of California--Los Angeles
Alex Afanasyev,University of California--Los Angeles
David Heckerman,University of California--Los Angeles
Van Jacobson,University of California--Los Angeles
Alan Kay,University of California--Los Angeles
Carey Nachenberg,University of California--Los Angeles
Giovanni Pau,University of California--Los Angeles
Ramin Ramezani,University of California--Los Angeles
Peter Reiher,University of California--Los Angeles
Jason Ernst,University of California--Los Angeles
Alyson Fletcher,University of California--Los Angeles
Stanley Osher,University of California--Los Angeles
Fabien Scalzo,University of California--Los Angeles
Mani Srivastava,University of California--Los Angeles
Mihaela van der Schaar,University of California--Los Angeles
Song Chun Zhu,University of California--Los Angeles
Tarek Abdelzaher,University of illinois at Urbana Champaign
Sarita V. Adve,University of illinois at Urbana Champaign
Vikram Adve,University of illinois at Urbana Champaign
Gul A. Agha,University of illinois at Urbana Champaign
Abdussalam Alawini,University of illinois at Urbana Champaign
Haitham Al-Hassanieh,University of illinois at Urbana Champaign
Gabrielle Dawn Allen,University of illinois at Urbana Champaign
Nancy M. Amato,University of illinois at Urbana Champaign
Mark A. Anastasio,University of illinois at Urbana Champaign
Lawrence Angrave,University of illinois at Urbana Champaign
Brian P. Bailey,University of illinois at Urbana Champaign
Michael Bailey,University of illinois at Urbana Champaign
Adam Bates,University of illinois at Urbana Champaign
Mattox Alan Beckman,University of illinois at Urbana Champaign
Catherine Lesley Blake,University of illinois at Urbana Champaign
Nikita Borisov,University of illinois at Urbana Champaign
Timothy Bretl,University of illinois at Urbana Champaign
Robert J. Brunner,University of illinois at Urbana Champaign
Matthew Caesar,University of illinois at Urbana Champaign
Roy H. Campbell,University of illinois at Urbana Champaign
George Chacko,University of illinois at Urbana Champaign
Geoffrey Werner Challen,University of illinois at Urbana Champaign
Timothy Moon-Yew Chan,University of illinois at Urbana Champaign
Karthekeyan Chandrasekaran,University of illinois at Urbana Champaign
Eshwar Chandrasekharan,University of illinois at Urbana Champaign
Kevin Chenchuan Chang,University of illinois at Urbana Champaign
Chandra Sekhar Chekuri,University of illinois at Urbana Champaign
Deming Chen,University of illinois at Urbana Champaign
Girish Chowdhary,University of illinois at Urbana Champaign
Benjamin Cosman,University of illinois at Urbana Champaign
Donna J. Cox,University of illinois at Urbana Champaign
Ryan Matthew Cunningham,University of illinois at Urbana Champaign
Neal E. Davis,University of illinois at Urbana Champaign
"Gerald F. DeJong, II",University of illinois at Urbana Champaign
Payam Delgosha,University of illinois at Urbana Champaign
Jana Diesner,University of illinois at Urbana Champaign
Minh N. Do,University of illinois at Urbana Champaign
Katherine Rose Driggs-Campbell,University of illinois at Urbana Champaign
Geir E. Dullerud,University of illinois at Urbana Champaign
Mohammed El-Kebir,University of illinois at Urbana Champaign
Jeff G. Erickson,University of illinois at Urbana Champaign
Carl Evans,University of illinois at Urbana Champaign
Wade A. Fagen-Ulmschneider,University of illinois at Urbana Champaign
Paul Fischer,University of illinois at Urbana Champaign
Margaret M. Fleck,University of illinois at Urbana Champaign
Christopher Wardlaw Fletcher,University of illinois at Urbana Champaign
Michael A. Forbes,University of illinois at Urbana Champaign
David Forsyth,University of illinois at Urbana Champaign
H. George Friedman,University of illinois at Urbana Champaign
Jugal Garg,University of illinois at Urbana Champaign
Charles Gear,University of illinois at Urbana Champaign
Yael Gertner,University of illinois at Urbana Champaign
Saugata Ghose,University of illinois at Urbana Champaign
Roxana Girju,University of illinois at Urbana Champaign
Philip B. Godfrey,University of illinois at Urbana Champaign
Mani Golparvar Fard,University of illinois at Urbana Champaign
William D. Gropp,University of illinois at Urbana Champaign
Liangyan Gui,University of illinois at Urbana Champaign
Carl Gunter,University of illinois at Urbana Champaign
Elsa Gunter,University of illinois at Urbana Champaign
Indranil Gupta,University of illinois at Urbana Champaign
Saurabh Gupta,University of illinois at Urbana Champaign
Jiawei Han,University of illinois at Urbana Champaign
Mehdi T. Harandi,University of illinois at Urbana Champaign
Sariel Har-Peled,University of illinois at Urbana Champaign
John C. Hart,University of illinois at Urbana Champaign
Mark Hasegawa-Johnson,University of illinois at Urbana Champaign
Kris K. Hauser,University of illinois at Urbana Champaign
Jing Rui He,University of illinois at Urbana Champaign
Michael T. Heath,University of illinois at Urbana Champaign
